File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\JVS\Source Code\Development Area\Varad\JDBC Skillup\day04\assignment1\TestUpdateRecords.java,25,6,4,0,4,0,15,67,0,0
D:\JVS\Source Code\Development Area\Varad\JDBC Skillup\day04\assignment1\UpdateRecords.java,302,205,170,23,29,3,68,326,0,0
D:\JVS\Source Code\Development Area\Varad\JDBC Skillup\day04\assignment2\MetaData.java,180,108,90,8,18,0,54,237,0,0
D:\JVS\Source Code\Development Area\Varad\JDBC Skillup\day04\assignment2\MetaDataMain.java,33,13,10,0,5,0,15,53,0,0
