Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,4,540,332,274,31,56,3,152,683,0,0
D:\JVS\Source Code\Development Area\Varad\JDBC Skillup\day04,4,540,332,274,31,56,3,152,683,0,0
D:\JVS\Source Code\Development Area\Varad\JDBC Skillup\day04\assignment1,2,327,211,174,23,33,3,83,393,0,0
D:\JVS\Source Code\Development Area\Varad\JDBC Skillup\day04\assignment2,2,213,121,100,8,23,0,69,290,0,0
